id,name,type1,type2,Japanese Kana
267,Beautifly,Bug,Flying,アゲハント
268,Cascoon,Bug,,マユルド
269,Dustox,Bug,Poison,ドクケイル
270,Lotad,Water,Grass,ハスボー
271,Lombre,Water,Grass,ハスブレロ
272,Ludicolo,Water,Grass,ルンパッパ
273,Seedot,Grass,,タネボー
274,Nuzleaf,Grass,Dark,コノハナ
275,Shiftry,Grass,Dark,ダーテング
276,Taillow,Normal,Flying,スバメ
277,Swellow,Normal,Flying,オオスバメ
278,Wingull,Water,Flying,キャモメ
279,Pelipper,Water,Flying,ペリッパー
280,Ralts,Psychic,Fairy,ラルトス
281,Kirlia,Psychic,Fairy,キルリア
282,Gardevoir,Psychic,Fairy,サーナイト
283,Surskit,Bug,Water,アメタマ
284,Masquerain,Bug,Water,アメモース
285,Shroomish,Grass,,キノココ
286,Breloom,Grass,Fighting,キノガッサ
287,Slakoth,Normal,,ナマケロ
288,Vigoroth,Normal,,ヤルキモノ
289,Slaking,Normal,,ケッキング
290,Nincada,Bug,Ground,ツチニン
291,Ninjask,Bug,Flying,テッカニン
292,Shedinja,Bug,Ghost,ヌケニン
293,Whismur,Normal,,ゴニョニョ
294,Loudred,Normal,,ドゴーム
295,Exploud,Normal,,バクオング
296,Makuhita,Fighting,,マクノシタ
297,Hariyama,Fighting,,ハリテヤマ
298,Azurill,Normal,Fairy,ルリリ
299,Nosepass,Rock,,ノズパス
300,Skitty,Normal,,エネコ
301,Delcatty,Normal,,エネコロロ
302,Sableye,Dark,Ghost,ヤミラミ
303,Mawile,Steel,Fairy,クチート
304,Aron,Steel,Rock,ココドラ
305,Lairon,Steel,Rock,コドラ
306,Aggron,Steel,Rock,ボスゴドラ
307,Meditite,Fighting,Psychic,アサナン
308,Medicham,Fighting,Psychic,チャーレム
309,Electrike,Electric,,ラクライ
310,Manectric,Electric,,ライボルト
311,Plusle,Electric,,プラスル
312,Minun,Electric,,マイナン
313,Volbeat,Bug,Electric,バルビート
314,Illumise,Bug,Fairy,イルミーゼ
315,Roselia,Grass,Poison,ロゼリア
316,Gulpin,Poison,,ゴクリン
317,Swalot,Poison,,マルノーム
318,Carvanha,Water,Dark,キバニア
319,Sharpedo,Water,Dark,サメハダー
320,Wailmer,Water,,ホエルコ
321,Wailord,Water,,ホエルオー
322,Numel,Fire,Ground,ドンメル
323,Camerupt,Fire,Ground,バクーダ
324,Torkoal,Fire,,コータス
325,Spoink,Psychic,,バネブー
326,Grumpig,Psychic,,ブーピッグ
327,Spinda,Normal,,パッチール
328,Trapinch,Ground,,ナックラー
329,Vibrava,Ground,Dragon,ビブラーバ
330,Flygon,Ground,Dragon,フライゴン
331,Cacnea,Grass,,サボネア
332,Cacturne,Grass,Dark,ノクタス
333,Swablu,Normal,Flying,チルット
334,Altaria,Dragon,Flying,チルタリス
335,Zangoose,Normal,,ザングース
336,Seviper,Poison,,ハブネーク
337,Lunatone,Rock,Psychic,ルナトーン
338,Solrock,Rock,Psychic,ソルロック
339,Barboach,Water,Ground,ドジョッチ
340,Whiscash,Water,Ground,ナマズン
341,Corphish,Water,,ヘイガニ
342,Crawdaunt,Water,Dark,シザリガー
343,Baltoy,Ground,Psychic,ヤジロン
344,Claydol,Ground,Psychic,ネンドール
345,Lileep,Rock,Grass,リリーラ
346,Cradily,Rock,Grass,ユレイドル
347,Anorith,Rock,Bug,アノプス
348,Armaldo,Rock,Bug,アーマルド
349,Feebas,Water,,ヒンバス
350,Milotic,Water,,ミロカロス
351,Castform,Normal,,ポワルン
352,Kecleon,Normal,,カクレオン
353,Shuppet,Ghost,,カゲボウズ
354,Banette,Ghost,,ジュペッタ
355,Duskull,Ghost,,ヨマワル
356,Dusclops,Ghost,,サマヨール
357,Tropius,Grass,Dragon,トロピウス
358,Chimecho,Psychic,,チリーン
359,Absol,Dark,,アブソル
360,Wynaut,Psychic,,ソーナノ
361,Snorunt,Ice,,ユキワラシ
362,Glalie,Ice,,オニゴーリ
363,Spheal,Ice,Water,タマザラシ
364,Sealeo,Ice,Water,トドグラー
365,Walrein,Ice,Water,トドゼルガ
366,Clamperl,Water,,パールル
367,Huntail,Water,Dark,ハンテール
368,Gorebyss,Water,Fairy,サクラビス
369,Relicanth,Water,Rock,ジーランス
370,Luvdisc,Water,Fairy,ラブカス
371,Bagon,Dragon,,タツベイ
372,Shelgon,Dragon,,コモルー
373,Salamence,Dragon,Flying,ボーマンダ
374,Beldum,Steel,Psychic,ダンバル
375,Metang,Steel,Psychic,メタング
376,Metagross,Steel,Psychic,メタグロス
377,Regirock,Rock,,レジロック
378,Regice,Ice,,レジアイス
379,Registeel,Steel,,レジスチル
380,Latias,Dragon,Psychic,ラティアス
381,Latios,Dragon,Psychic,ラティオス
382,Kyogre,Water,,カイオーガ
383,Groudon,Ground,,グラードン
384,Rayquaza,Dragon,Flying,レックウザ
385,Jirachi,Steel,Psychic,ジラーチ
386,Deoxys,Psychic,,デオキシス
387,Turtwig,Grass,,ナエトル
388,Grotle,Grass,,ハヤシガメ
389,Torterra,Grass,Ground,ドダイトス
390,Chimchar,Fire,,ヒコザル
391,Monferno,Fire,Fighting,モウカザル
392,Infernape,Fire,Fighting,ゴウカザル
393,Piplup,Water,,ポッチャマ
394,Prinplup,Water,,ポッタイシ
395,Empoleon,Water,Steel,エンペルト
396,Starly,Normal,Flying,ムックル
397,Staravia,Normal,Flying,ムクバード
398,Staraptor,Normal,Flying,ムクホーク
399,Bidoof,Normal,,ビッパ
400,Bibarel,Normal,Water,ビーダル
401,Kricketot,Bug,,コロボーシ
402,Kricketune,Bug,,コロトック
403,Shinx,Electric,,コリンク
404,Luxio,Electric,,ルクシオ
405,Luxray,Electric,Dark,レントラー
406,Budew,Grass,Poison,スボミー
407,Roserade,Grass,Poison,ロズレイド
408,Cranidos,Rock,,ズガイドス
409,Rampardos,Rock,,ラムパルド
410,Shieldon,Rock,Steel,タテトプス
411,Bastiodon,Rock,Steel,トリデプス
412,Burmy,Bug,,ミノムッチ
412,Burmy,Bug,,ミノムッチ
412,Burmy,Bug,,ミノムッチ
413,Wormadam,Bug,Grass,ミノマダム
414,Mothim,Bug,Flying,ガーメイル
415,Combee,Bug,Flying,ミツハニー
416,Vespiquen,Bug,Flying,ビークイン
417,Pachirisu,Electric,,パチリス
418,Buizel,Water,,ブイゼル
419,Floatzel,Water,,フローゼル
420,Cherubi,Grass,,チェリンボ
421,Cherrim,Grass,,チェリム
422,Shellos,Water,,カラナクシ
422,Shellos,Water,,カラナクシ
423,Gastrodon,Water,Ground,トリトドン
423,Gastrodon,Water,Ground,トリトドン
424,Ambipom,Normal,,エテボース
425,Drifloon,Ghost,Flying,フワンテ
426,Drifblim,Ghost,Flying,フワライド
427,Buneary,Normal,,ミミロル
428,Lopunny,Normal,Fighting,ミミロップ
429,Mismagius,Ghost,Fairy,ムウマージ
430,Honchkrow,Dark,Flying,ドンカラス
431,Glameow,Normal,,ニャルマー
432,Purugly,Normal,,ブニャット
433,Chingling,Psychic,,リーシャン
434,Stunky,Poison,Dark,スカンプー
435,Skuntank,Poison,Dark,スカタンク
436,Bronzor,Steel,Psychic,ドーミラー
437,Bronzong,Steel,Psychic,ドータクン
438,Bonsly,Rock,,ウソハチ
439,Mime Jr.,Psychic,Fairy,マネネ
440,Happiny,Normal,,ピンプク
441,Chatot,Normal,Flying,ペラップ
442,Spiritomb,Ghost,Dark,ミカルゲ
443,Gible,Dragon,Ground,フカマル
444,Gabite,Dragon,Ground,ガバイト
445,Garchomp,Dragon,Ground,ガブリアス
446,Munchlax,Normal,,ゴンベ
447,Riolu,Fighting,,リオル
448,Lucario,Fighting,Steel,ルカリオ
449,Hippopotas,Ground,,ヒポポタス
449,Hippopotas,Ground,,ヒポポタス
450,Hippowdon,Ground,,カバルドン
450,Hippowdon,Ground,,カバルドン
451,Skorupi,Poison,Bug,スコルピ
452,Drapion,Poison,Dark,ドラピオン
453,Croagunk,Poison,Fighting,グレッグル
454,Toxicroak,Poison,Fighting,ドクロッグ
455,Carnivine,Grass,,マスキッパ
456,Finneon,Water,,ケイコウオ
457,Lumineon,Water,,ネオラント
458,Mantyke,Water,Flying,タマンタ
459,Snover,Grass,Ice,ユキカブリ
460,Abomasnow,Grass,Ice,ユキノオー
461,Weavile,Dark,Ice,マニューラ
462,Magnezone,Electric,Steel,ジバコイル
463,Lickilicky,Normal,,ベロベルト
464,Rhyperior,Ground,Rock,ドサイドン
465,Tangrowth,Grass,,モジャンボ
466,Electivire,Electric,,エレキブル
467,Magmortar,Fire,,ブーバーン
468,Togekiss,Fairy,Flying,トゲキッス
469,Yanmega,Bug,Flying,メガヤンマ
470,Leafeon,Grass,,リーフィア
471,Glaceon,Ice,,グレイシア
472,Gliscor,Ground,Flying,グライオン
473,Mamoswine,Ice,Ground,マンムー
474,Porygon-Z,Normal,,ポリゴンＺ
475,Gallade,Psychic,Fighting,エルレイド
476,Probopass,Rock,Steel,ダイノーズ
477,Dusknoir,Ghost,,ヨノワール
478,Froslass,Ice,Ghost,ユキメノコ
479,Rotom,Electric,Ghost,ロトム
480,Uxie,Psychic,,ユクシー
481,Mesprit,Psychic,,エムリット
482,Azelf,Psychic,,アグノム
483,Dialga,Steel,Dragon,ディアルガ
484,Palkia,Water,Dragon,パルキア
485,Heatran,Fire,Steel,ヒードラン
486,Regigigas,Normal,,レジギガス
487,Giratina,Ghost,Dragon,ギラティナ
488,Cresselia,Psychic,,クレセリア
489,Phione,Water,,フィオネ
490,Manaphy,Water,,マナフィ
491,Darkrai,Dark,,ダークライ
492,Shaymin,Grass,,シェイミ
493,Arceus,Normal,,アルセウス
494,Victini,Psychic,Fire,ビクティニ
495,Snivy,Grass,,ツタージャ
496,Servine,Grass,,ジャノビー
497,Serperior,Grass,,ジャローダ
498,Tepig,Fire,,ポカブ
499,Pignite,Fire,Fighting,チャオブー
500,Emboar,Fire,Fighting,エンブオー
501,Oshawott,Water,,ミジュマル
502,Dewott,Water,,フタチマル
503,Samurott,Water,Steel,ダイケンキ
504,Patrat,Normal,,ミネズミ
505,Watchog,Normal,,ミルホッグ
506,Lillipup,Normal,,ヨーテリー
507,Herdier,Normal,,ハーデリア
508,Stoutland,Normal,,ムーランド
509,Purrloin,Dark,,チョロネコ
510,Liepard,Dark,,レパルダス
511,Pansage,Grass,,ヤナップ
512,Simisage,Grass,,ヤナッキー
513,Pansear,Fire,,バオップ
514,Simisear,Fire,,バオッキー
515,Panpour,Water,,ヒヤップ
516,Simipour,Water,,ヒヤッキー
517,Munna,Psychic,,ムンナ
518,Musharna,Psychic,,ムシャーナ
519,Pidove,Normal,Flying,マメパト
520,Tranquill,Normal,Flying,ハトーボー
521,Unfezant,Normal,Flying,ケンホロウ
521,Unfezant,Normal,Flying,ケンホロウ
522,Blitzle,Electric,,シママ
523,Zebstrika,Electric,,ゼブライカ
524,Roggenrola,Rock,,ダンゴロ
525,Boldore,Rock,,ガントル
526,Gigalith,Rock,,ギガイアス
527,Woobat,Psychic,Flying,コロモリ
528,Swoobat,Psychic,Flying,ココロモリ
529,Drilbur,Ground,,モグリュー
530,Excadrill,Ground,Steel,ドリュウズ
531,Audino,Normal,,タブンネ
532,Timburr,Fighting,,ドッコラー
533,Gurdurr,Fighting,,ドテッコツ
534,Conkeldurr,Fighting,,ローブシン
535,Tympole,Water,,オタマロ
536,Palpitoad,Water,Ground,ガマガル
537,Seismitoad,Water,Ground,ガマゲロゲ
538,Throh,Fighting,,ナゲキ
539,Sawk,Fighting,,ダゲキ
540,Sewaddle,Bug,Grass,クルミル
541,Swadloon,Bug,Grass,クルマユ
542,Leavanny,Bug,Grass,ハハコモリ
543,Venipede,Bug,Poison,フシデ
544,Whirlipede,Bug,Poison,ホイーガ
545,Scolipede,Bug,Poison,ペンドラー
546,Cottonee,Grass,Fairy,モンメン
547,Whimsicott,Grass,Fairy,エルフーン
548,Petilil,Grass,,チュリネ
549,Lilligant,Grass,,ドレディア
550,Basculin,Water,,バスラオ
551,Sandile,Ground,Dark,メグロコ
552,Krokorok,Ground,Dark,ワルビル
553,Krookodile,Ground,Dark,ワルビアル
554,Darumaka,Fire,,ダルマッカ
555,Darmanitan,Fire,,ヒヒダルマ
556,Maractus,Grass,,マラカッチ
557,Dwebble,Bug,Rock,イシズマイ
558,Crustle,Bug,Rock,イワパレス
559,Scraggy,Dark,Fighting,ズルッグ
560,Scrafty,Dark,Fighting,ズルズキン
561,Sigilyph,Psychic,Flying,シンボラー
562,Yamask,Ghost,,デスマス
563,Cofagrigus,Ghost,,デスカーン
564,Tirtouga,Water,Rock,プロトーガ
565,Carracosta,Water,Rock,アバゴーラ
566,Archen,Rock,Flying,アーケン
567,Archeops,Rock,Flying,アーケオス
568,Trubbish,Poison,,ヤブクロン
569,Garbodor,Poison,,ダストダス
570,Zorua,Dark,,ゾロア
571,Zoroark,Dark,,ゾロアーク
572,Minccino,Normal,,チラーミィ
573,Cinccino,Normal,,チラチーノ
574,Gothita,Psychic,,ゴチム
575,Gothorita,Psychic,,ゴチミル
576,Gothitelle,Psychic,,ゴチルゼル
577,Solosis,Psychic,,ユニラン
578,Duosion,Psychic,,ダブラン
579,Reuniclus,Psychic,,ランクルス
580,Ducklett,Water,Flying,コアルヒー
581,Swanna,Water,Flying,スワンナ
582,Vanillite,Ice,,バニプッチ
583,Vanillish,Ice,,バニリッチ
584,Vanilluxe,Ice,,バイバニラ
585,Deerling,Normal,Grass,シキジカ
585,Deerling,Normal,Grass,シキジカ
585,Deerling,Normal,Grass,シキジカ
585,Deerling,Normal,Grass,シキジカ
586,Sawsbuck,Normal,Grass,メブキジカ
586,Sawsbuck,Normal,Grass,メブキジカ
586,Sawsbuck,Normal,Grass,メブキジカ
586,Sawsbuck,Normal,Grass,メブキジカ
587,Emolga,Electric,Flying,エモンガ
588,Karrablast,Bug,,カブルモ
589,Escavalier,Bug,Steel,シュバルゴ
590,Foongus,Grass,Poison,タマゲタケ
591,Amoonguss,Grass,Poison,モロバレル
592,Frillish,Water,Ghost,プルリル
592,Frillish,Water,Ghost,プルリル
593,Jellicent,Water,Ghost,ブルンゲル
593,Jellicent,Water,Ghost,ブルンゲル
594,Alomomola,Water,,ママンボウ
595,Joltik,Bug,Electric,バチュル
596,Galvantula,Bug,Electric,デンチュラ
597,Ferroseed,Grass,Steel,テッシード
598,Ferrothorn,Grass,Steel,ナットレイ
599,Klink,Steel,,ギアル
600,Klang,Steel,,ギギアル
601,Klinklang,Steel,,ギギギアル
602,Tynamo,Electric,,シビシラス
603,Eelektrik,Electric,,シビビール
604,Eelektross,Electric,,シビルドン
605,Elgyem,Psychic,,リグレー
606,Beheeyem,Psychic,,オーベム
607,Litwick,Ghost,Fire,ヒトモシ
608,Lampent,Ghost,Fire,ランプラー
609,Chandelure,Ghost,Fire,シャンデラ
610,Axew,Dragon,,キバゴ
611,Fraxure,Dragon,,オノンド
612,Haxorus,Dragon,,オノノクス
613,Cubchoo,Ice,,クマシュン
614,Beartic,Ice,Fighting,ツンベアー
615,Cryogonal,Ice,,フリージオ
616,Shelmet,Bug,,チョボマキ
617,Accelgor,Bug,,アギルダー
618,Stunfisk,Ground,Electric,マッギョ
619,Mienfoo,Fighting,,コジョフー
620,Mienshao,Fighting,,コジョンド
621,Druddigon,Dragon,,クリムガン
622,Golett,Ground,Ghost,ゴビット
623,Golurk,Ground,Ghost,ゴルーグ
624,Pawniard,Dark,Steel,コマタナ
625,Bisharp,Dark,Steel,キリキザン
626,Bouffalant,Normal,,バッフロン
627,Rufflet,Normal,Flying,ワシボン
628,Braviary,Normal,Flying,ウォーグル
629,Vullaby,Dark,Flying,バルチャイ
630,Mandibuzz,Dark,Flying,バルジーナ
631,Heatmor,Fire,,クイタラン
632,Durant,Bug,Steel,アイアント
633,Deino,Dark,Dragon,モノズ
634,Zweilous,Dark,Dragon,ジヘッド
635,Hydreigon,Dark,Dragon,サザンドラ
