id,name,type1,type2,Japanese Kana
333,swablu,normal,flying,チルット
334,altaria,dragon,flying,チルタリス
335,zangoose,normal,,ザングース
336,seviper,poison,,ハブネーク
337,lunatone,rock,psychic,ルナトーン
338,solrock,rock,psychic,ソルロック
339,barboach,water,ground,ドジョッチ
340,whiscash,water,ground,ナマズン
341,corphish,water,,ヘイガニ
342,crawdaunt,water,dark,シザリガー
343,baltoy,ground,psychic,ヤジロン
344,claydol,ground,psychic,ネンドール
345,lileep,rock,grass,リリーラ
346,cradily,rock,grass,ユレイドル
347,anorith,rock,bug,アノプス
348,armaldo,rock,bug,アーマルド
349,feebas,water,,ヒンバス
350,milotic,water,,ミロカロス
351,castform,normal,,ポワルン
352,kecleon,normal,,カクレオン
353,shuppet,ghost,,カゲボウズ
354,banette,ghost,,ジュペッタ
355,duskull,ghost,,ヨマワル
356,dusclops,ghost,,サマヨール
357,tropius,grass,flying,トロピウス
358,chimecho,psychic,,チリーン
359,absol,dark,,アブソル
360,wynaut,psychic,,ソーナノ
361,snorunt,ice,,ユキワラシ
362,glalie,ice,,オニゴーリ
363,spheal,ice,water,タマザラシ
364,sealeo,ice,water,トドグラー
365,walrein,ice,water,トドゼルガ
366,clamperl,water,,パールル
367,huntail,water,,ハンテール
368,gorebyss,water,,サクラビス
369,relicanth,water,rock,ジーランス
370,luvdisc,water,,ラブカス
371,bagon,dragon,,タツベイ
372,shelgon,dragon,,コモルー
373,salamence,dragon,flying,ボーマンダ
374,beldum,steel,psychic,ダンバル
375,metang,steel,psychic,メタング
376,metagross,steel,psychic,メタグロス
377,regirock,rock,,レジロック
378,regice,ice,,レジアイス
379,registeel,steel,,レジスチル
380,latias,dragon,psychic,ラティアス
381,latios,dragon,psychic,ラティオス
382,kyogre,water,,カイオーガ
383,groudon,ground,,グラードン
384,rayquaza,dragon,flying,レックウザ
385,jirachi,steel,psychic,ジラーチ
386,deoxys-normal,psychic,,デオキシス
387,turtwig,grass,,ナエトル
388,grotle,grass,,ハヤシガメ
389,torterra,grass,ground,ドダイトス
390,chimchar,fire,,ヒコザル
391,monferno,fire,fighting,モウカザル
392,infernape,fire,fighting,ゴウカザル
393,piplup,water,,ポッチャマ
394,prinplup,water,,ポッタイシ
395,empoleon,water,steel,エンペルト
396,starly,normal,flying,ムックル
397,staravia,normal,flying,ムクバード
398,staraptor,normal,flying,ムクホーク
399,bidoof,normal,,ビッパ
400,bibarel,normal,water,ビーダル
401,kricketot,bug,,コロボーシ
402,kricketune,bug,,コロトック
403,shinx,electric,,コリンク
404,luxio,electric,,ルクシオ
405,luxray,electric,,レントラー
406,budew,grass,poison,スボミー
407,roserade,grass,poison,ロズレイド
408,cranidos,rock,,ズガイドス
409,rampardos,rock,,ラムパルド
410,shieldon,rock,steel,タテトプス
411,bastiodon,rock,steel,トリデプス
412,burmy,bug,,ミノムッチ
413,wormadam-plant,bug,grass,ミノマダム
414,mothim,bug,flying,ガーメイル
415,combee,bug,flying,ミツハニー
416,vespiquen,bug,flying,ビークイン
417,pachirisu,electric,,パチリス
418,buizel,water,,ブイゼル
419,floatzel,water,,フローゼル
420,cherubi,grass,,チェリンボ
421,cherrim,grass,,チェリム
422,shellos,water,,カラナクシ
423,gastrodon,water,ground,トリトドン
424,ambipom,normal,,エテボース
425,drifloon,ghost,flying,フワンテ
426,drifblim,ghost,flying,フワライド
427,buneary,normal,,ミミロル
428,lopunny,normal,,ミミロップ
429,mismagius,ghost,,ムウマージ
430,honchkrow,dark,flying,ドンカラス
431,glameow,normal,,ニャルマー
432,purugly,normal,,ブニャット
433,chingling,psychic,,リーシャン
434,stunky,poison,dark,スカンプー
435,skuntank,poison,dark,スカタンク
436,bronzor,steel,psychic,ドーミラー
437,bronzong,steel,psychic,ドータクン
438,bonsly,rock,,ウソハチ
439,mime jr,psychic,fairy,マネネ
440,happiny,normal,,ピンプク
441,chatot,normal,flying,ペラップ
442,spiritomb,ghost,dark,ミカルゲ
443,gible,dragon,ground,フカマル
444,gabite,dragon,ground,ガバイト
445,garchomp,dragon,ground,ガブリアス
446,munchlax,normal,,ゴンベ
447,riolu,fighting,,リオル
448,lucario,fighting,steel,ルカリオ
449,hippopotas,ground,,ヒポポタス
450,hippowdon,ground,,カバルドン
451,skorupi,poison,bug,スコルピ
452,drapion,poison,dark,ドラピオン
453,croagunk,poison,fighting,グレッグル
454,toxicroak,poison,fighting,ドクロッグ
455,carnivine,grass,,マスキッパ
456,finneon,water,,ケイコウオ
457,lumineon,water,,ネオラント
458,mantyke,water,flying,タマンタ
459,snover,grass,ice,ユキカブリ
460,abomasnow,grass,ice,ユキノオー
461,weavile,dark,ice,マニューラ
462,magnezone,electric,steel,ジバコイル
463,lickilicky,normal,,ベロベルト
464,rhyperior,ground,rock,ドサイドン
465,tangrowth,grass,,モジャンボ
466,electivire,electric,,エレキブル
467,magmortar,fire,,ブーバーン
468,togekiss,fairy,flying,トゲキッス
469,yanmega,bug,flying,メガヤンマ
470,leafeon,grass,,リーフィア
471,glaceon,ice,,グレイシア
472,gliscor,ground,flying,グライオン
473,mamoswine,ice,ground,マンムー
474,porygon-z,normal,,ポリゴンＺ
475,gallade,psychic,fighting,エルレイド
476,probopass,rock,steel,ダイノーズ
477,dusknoir,ghost,,ヨノワール
478,froslass,ice,ghost,ユキメノコ
479,rotom,electric,ghost,ロトム
480,uxie,psychic,,ユクシー
481,mesprit,psychic,,エムリット
482,azelf,psychic,,アグノム
483,dialga,steel,dragon,ディアルガ
484,palkia,water,dragon,パルキア
485,heatran,fire,steel,ヒードラン
486,regigigas,normal,,レジギガス
487,giratina-altered,ghost,dragon,ギラティナ
488,cresselia,psychic,,クレセリア
489,phione,water,,フィオネ
490,manaphy,water,,マナフィ
491,darkrai,dark,,ダークライ
492,shaymin-land,grass,,シェイミ
493,arceus,normal,,アルセウス
494,victini,psychic,fire,ビクティニ
495,snivy,grass,,ツタージャ
496,servine,grass,,ジャノビー
497,serperior,grass,,ジャローダ
498,tepig,fire,,ポカブ
499,pignite,fire,fighting,チャオブー
500,emboar,fire,fighting,エンブオー
501,oshawott,water,,ミジュマル
502,dewott,water,,フタチマル
503,samurott,water,,ダイケンキ
504,patrat,normal,,ミネズミ
505,watchog,normal,,ミルホッグ
506,lillipup,normal,,ヨーテリー
507,herdier,normal,,ハーデリア
508,stoutland,normal,,ムーランド
509,purrloin,dark,,チョロネコ
510,liepard,dark,,レパルダス
511,pansage,grass,,ヤナップ
512,simisage,grass,,ヤナッキー
513,pansear,fire,,バオップ
514,simisear,fire,,バオッキー
515,panpour,water,,ヒヤップ
516,simipour,water,,ヒヤッキー
517,munna,psychic,,ムンナ
518,musharna,psychic,,ムシャーナ
519,pidove,normal,flying,マメパト
520,tranquill,normal,flying,ハトーボー
521,unfezant,normal,flying,ケンホロウ
522,blitzle,electric,,シママ
523,zebstrika,electric,,ゼブライカ
524,roggenrola,rock,,ダンゴロ
525,boldore,rock,,ガントル
526,gigalith,rock,,ギガイアス
527,woobat,psychic,flying,コロモリ
528,swoobat,psychic,flying,ココロモリ
529,drilbur,ground,,モグリュー
530,excadrill,ground,steel,ドリュウズ
531,audino,normal,,タブンネ
532,timburr,fighting,,ドッコラー
533,gurdurr,fighting,,ドテッコツ
534,conkeldurr,fighting,,ローブシン
535,tympole,water,,オタマロ
536,palpitoad,water,ground,ガマガル
537,seismitoad,water,ground,ガマゲロゲ
538,throh,fighting,,ナゲキ
539,sawk,fighting,,ダゲキ
540,sewaddle,bug,grass,クルミル
541,swadloon,bug,grass,クルマユ
542,leavanny,bug,grass,ハハコモリ
543,venipede,bug,poison,フシデ
544,whirlipede,bug,poison,ホイーガ
545,scolipede,bug,poison,ペンドラー
546,cottonee,grass,fairy,モンメン
547,whimsicott,grass,fairy,エルフーン
548,petilil,grass,,チュリネ
549,lilligant,grass,,ドレディア
550,basculin-red-striped,water,,バスラオ
551,sandile,ground,dark,メグロコ
552,krokorok,ground,dark,ワルビル
553,krookodile,ground,dark,ワルビアル
554,darumaka,fire,,ダルマッカ
555,darmanitan-standard,fire,,ヒヒダルマ
556,maractus,grass,,マラカッチ
557,dwebble,bug,rock,イシズマイ
558,crustle,bug,rock,イワパレス
559,scraggy,dark,fighting,ズルッグ
560,scrafty,dark,fighting,ズルズキン
561,sigilyph,psychic,flying,シンボラー
562,yamask,ghost,,デスマス
563,cofagrigus,ghost,,デスカーン
564,tirtouga,water,rock,プロトーガ
565,carracosta,water,rock,アバゴーラ
566,archen,rock,flying,アーケン
567,archeops,rock,flying,アーケオス
568,trubbish,poison,,ヤブクロン
569,garbodor,poison,,ダストダス
570,zorua,dark,,ゾロア
571,zoroark,dark,,ゾロアーク
572,minccino,normal,,チラーミィ
573,cinccino,normal,,チラチーノ
574,gothita,psychic,,ゴチム
575,gothorita,psychic,,ゴチミル
576,gothitelle,psychic,,ゴチルゼル
577,solosis,psychic,,ユニラン
578,duosion,psychic,,ダブラン
579,reuniclus,psychic,,ランクルス
580,ducklett,water,flying,コアルヒー
581,swanna,water,flying,スワンナ
582,vanillite,ice,,バニプッチ
583,vanillish,ice,,バニリッチ
584,vanilluxe,ice,,バイバニラ
585,deerling,normal,grass,シキジカ
586,sawsbuck,normal,grass,メブキジカ
587,emolga,electric,flying,エモンガ
588,karrablast,bug,,カブルモ
589,escavalier,bug,steel,シュバルゴ
590,foongus,grass,poison,タマゲタケ
591,amoonguss,grass,poison,モロバレル
592,frillish,water,ghost,プルリル
593,jellicent,water,ghost,ブルンゲル
594,alomomola,water,,ママンボウ
595,joltik,bug,electric,バチュル
596,galvantula,bug,electric,デンチュラ
597,ferroseed,grass,steel,テッシード
598,ferrothorn,grass,steel,ナットレイ
599,klink,steel,,ギアル
600,klang,steel,,ギギアル
601,klinklang,steel,,ギギギアル
602,tynamo,electric,,シビシラス
603,eelektrik,electric,,シビビール
604,eelektross,electric,,シビルドン
605,elgyem,psychic,,リグレー
606,beheeyem,psychic,,オーベム
607,litwick,ghost,fire,ヒトモシ
608,lampent,ghost,fire,ランプラー
609,chandelure,ghost,fire,シャンデラ
610,axew,dragon,,キバゴ
611,fraxure,dragon,,オノンド
612,haxorus,dragon,,オノノクス
613,cubchoo,ice,,クマシュン
614,beartic,ice,,ツンベアー
615,cryogonal,ice,,フリージオ
616,shelmet,bug,,チョボマキ
617,accelgor,bug,,アギルダー
618,stunfisk,ground,electric,マッギョ
619,mienfoo,fighting,,コジョフー
620,mienshao,fighting,,コジョンド
621,druddigon,dragon,,クリムガン
622,golett,ground,ghost,ゴビット
623,golurk,ground,ghost,ゴルーグ
624,pawniard,dark,steel,コマタナ
625,bisharp,dark,steel,キリキザン
626,bouffalant,normal,,バッフロン
627,rufflet,normal,flying,ワシボン
628,braviary,normal,flying,ウォーグル
629,vullaby,dark,flying,バルチャイ
630,mandibuzz,dark,flying,バルジーナ
631,heatmor,fire,,クイタラン
632,durant,bug,steel,アイアント
633,deino,dark,dragon,モノズ
634,zweilous,dark,dragon,ジヘッド
635,hydreigon,dark,dragon,サザンドラ
636,larvesta,bug,fire,メラルバ
637,volcarona,bug,fire,ウルガモス
638,cobalion,steel,fighting,コバルオン
639,terrakion,rock,fighting,テラキオン
640,virizion,grass,fighting,ビリジオン
641,tornadus-incarnate,flying,,トルネロス
642,thundurus-incarnate,electric,flying,ボルトロス
643,reshiram,dragon,fire,レシラム
644,zekrom,dragon,electric,ゼクロム
645,landorus-incarnate,ground,flying,ランドロス
646,kyurem,dragon,ice,キュレム
647,keldeo-ordinary,water,fighting,ケルディオ
648,meloetta-aria,normal,psychic,メロエッタ
649,genesect,bug,steel,ゲノセクト
650,chespin,grass,,ハリマロン
651,quilladin,grass,,ハリボーグ
652,chesnaught,grass,fighting,ブリガロン
653,fennekin,fire,,フォッコ
654,braixen,fire,,テールナー
655,delphox,fire,psychic,マフォクシー
656,froakie,water,,ケロマツ
657,frogadier,water,,ゲコガシラ
658,greninja,water,dark,ゲッコウガ
659,bunnelby,normal,,ホルビー
660,diggersby,normal,ground,ホルード
661,fletchling,normal,flying,ヤヤコマ
662,fletchinder,fire,flying,ヒノヤコマ
663,talonflame,fire,flying,ファイアロー
664,scatterbug,bug,,コフキムシ
665,spewpa,bug,,コフーライ
666,vivillon,bug,flying,ビビヨン
667,litleo,fire,normal,シシコ
668,pyroar,fire,normal,カエンジシ
669,flabebe,fairy,,フラベベ
670,floette,fairy,,フラエッテ
671,florges,fairy,,フラージェス
672,skiddo,grass,,メェークル
673,gogoat,grass,,ゴーゴート
674,pancham,fighting,,ヤンチャム
675,pangoro,fighting,dark,ゴロンダ
676,furfrou,normal,,トリミアン
677,espurr,psychic,,ニャスパー
678,meowstic-male,psychic,,ニャオニクス
679,honedge,steel,ghost,ヒトツキ
680,doublade,steel,ghost,ニダンギル
681,aegislash-shield,steel,ghost,ギルガルド
682,spritzee,fairy,,シュシュプ
683,aromatisse,fairy,,フレフワン
684,swirlix,fairy,,ペロッパフ
685,slurpuff,fairy,,ペロリーム
686,inkay,dark,psychic,マーイーカ
687,malamar,dark,psychic,カラマネロ
688,binacle,rock,water,カメテテ
689,barbaracle,rock,water,ガメノデス
690,skrelp,poison,water,クズモー
691,dragalge,poison,dragon,ドラミドロ
692,clauncher,water,,ウデッポウ
693,clawitzer,water,,ブロスター
694,helioptile,electric,normal,エリキテル
695,heliolisk,electric,normal,エレザード
696,tyrunt,rock,dragon,チゴラス
697,tyrantrum,rock,dragon,ガチゴラス
698,amaura,rock,ice,アマルス
699,aurorus,rock,ice,アマルルガ
700,sylveon,fairy,,ニンフィア
701,hawlucha,fighting,flying,ルチャブル
702,dedenne,electric,fairy,デデンネ
703,carbink,rock,fairy,メレシー
704,goomy,dragon,,ヌメラ
705,sliggoo,dragon,,ヌメイル
706,goodra,dragon,,ヌメルゴン
707,klefki,steel,fairy,クレッフィ
708,phantump,ghost,grass,ボクレー
709,trevenant,ghost,grass,オーロット
710,pumpkaboo-average,ghost,grass,バケッチャ
711,gourgeist-average,ghost,grass,パンプジン
712,bergmite,ice,,カチコール
713,avalugg,ice,,クレベース
714,noibat,flying,dragon,オンバット
715,noivern,flying,dragon,オンバーン
716,xerneas,fairy,,ゼルネアス
717,yveltal,dark,flying,イベルタル
718,zygarde-50,dragon,ground,ジガルデ
719,diancie,rock,fairy,ディアンシー
720,hoopa,psychic,ghost,フーパ
721,volcanion,fire,water,ボルケニオン
722,rowlet,grass,flying,モクロー
723,dartrix,grass,flying,フクスロー
724,decidueye,grass,ghost,ジュナイパー
725,litten,fire,,ニャビー
726,torracat,fire,,ニャヒート
727,incineroar,fire,dark,ガオガエン
728,popplio,water,,アシマリ
729,brionne,water,,オシャマリ
730,primarina,water,fairy,アシレーヌ
731,pikipek,normal,flying,ツツケラ
732,trumbeak,normal,flying,ケララッパ
733,toucannon,normal,flying,ドデカバシ
734,yungoos,normal,,ヤングース
735,gumshoos,normal,,デカグース
736,grubbin,bug,,アゴジムシ
737,charjabug,bug,electric,デンヂムシ
738,vikavolt,bug,electric,クワガノン
739,crabrawler,fighting,,マケンカニ
740,crabominable,fighting,ice,ケケンカニ
741,oricorio-baile,fire,flying,オドリドリ
742,cutiefly,bug,fairy,アブリー
743,ribombee,bug,fairy,アブリボン
744,rockruff,rock,,イワンコ
745,lycanroc-midday,rock,,ルガルガン
746,wishiwashi-solo,water,,ヨワシ
747,mareanie,poison,water,ヒドイデ
748,toxapex,poison,water,ドヒドイデ
749,mudbray,ground,,ドロバンコ
750,mudsdale,ground,,バンバドロ
751,dewpider,water,bug,シズクモ
752,araquanid,water,bug,オニシズクモ
753,fomantis,grass,,カリキリ
754,lurantis,grass,,ラランテス
755,morelull,grass,fairy,ネマシュ
756,shiinotic,grass,fairy,マシェード
757,salandit,poison,fire,ヤトウモリ
758,salazzle,poison,fire,エンニュート
759,stufful,normal,fighting,ヌイコグマ
760,bewear,normal,fighting,キテルグマ
761,bounsweet,grass,,アマカジ
